# -*- Mode: C; tab-width: 4; indent-tabs-mode: nil; c-basic-offset: 2 -*-
# 
# The contents of this file are subject to the Netscape Public License
# Version 1.0 (the "NPL"); you may not use this file except in
# compliance with the NPL.  You may obtain a copy of the NPL at
# http://www.mozilla.org/NPL/
# 
# Software distributed under the NPL is distributed on an "AS IS" basis,
# WITHOUT WARRANTY OF ANY KIND, either express or implied. See the NPL
# for the specific language governing rights and limitations under the
# NPL.
#
# The Initial Developer of this code under the NPL is Netscape
# Communications Corporation.  Portions created by Netscape are
# Copyright (C) 1998 Netscape Communications Corporation.  All Rights
# Reserved.
# 
#	HAND MADE BY FRANK TANG <ftang@netscape.com>
#	BY REFERENCE RFC 1489
#	KOI8-R CHARSET 
#
#
0x00	0x0000	#NULL
0xC26E  0x0144
0xC26F  0x00F3
0xC272  0x0155
0xC273  0x015B
0xC275  0x00FA
0xC279  0x00FD
0xC27A  0x017A
0xC320  0x005E
0xC341  0x00C2
0xC343  0x0108
0xC345  0x00CA
0xC347  0x011C
0xC348  0x0124
0xC349  0x00CE
0xC34A  0x0134
0xC34F  0x00D4
0xC353  0x015C
0xC355  0x00DB
0xC357  0x0174
0xC359  0x0176
0xC361  0x00E2
0xC363  0x0109
0xC365  0x00EA
0xC367  0x011D
0xC368  0x0125
0xC369  0x00EE
0xC36A  0x0135
0xC36F  0x00F4
0xC373  0x015D
0xC375  0x00FB
0xC377  0x0175
0xC379  0x0177
0xC420  0x007E
0xC441  0x00C3
0xC449  0x0128
0xC44E  0x00D1
0xC44F  0x00D5
0xC455  0x0168
0xC461  0x00E3
0xC469  0x0129
0xC46E  0x00F1
0xC46F  0x00F5
0xC475  0x0169
0xC520  0x00AF
0xC541  0x0100
0xC545  0x0112
0xC549  0x012A
0xC54F  0x014C
0xC555  0x016A
0xC561  0x0101
0xC565  0x0113
0xC569  0x012B
0xC56F  0x014D
0xC575  0x016B
0xC620  0x02D8
0xC641  0x0102
0xC647  0x011E
0xC655  0x016C
0xC661  0x0103
0xC667  0x011F
0xC675  0x016D
0xC720  0x02D9
0xC743  0x010A
0xC745  0x0116
0xC747  0x0120
0xC749  0x0130
0xC75A  0x017B
0xC763  0x010B
0xC765  0x0117
0xC767  0x0121
0xC77A  0x017C
0xC820  0x00A8
0xC841  0x00C4
0xC845  0x00CB
0xC849  0x00CF
0xC84F  0x00D6
0xC855  0x00DC
0xC859  0x0178
0xC861  0x00E4
0xC865  0x00EB
0xC869  0x00EF
0xC86F  0x00F6
0xC875  0x00FC
0xC879  0x00FF
0xCA20  0x02DA
0xCA41  0x00C5
0xCA55  0x016E
0xCA61  0x00E5
0xCA75  0x016F
0xCB20  0x00B8
0xCB43  0x00C7
0xCB47  0x0122
0xCB4B  0x0136
0xCB4C  0x013B
0xCB52  0x0156
0xCB53  0x015E
0xCB54  0x0162
0xCB63  0x00E7
0xCB6B  0x0137
0xCB6C  0x013C
0xCB6E  0x0146
0xCB72  0x0157
0xCB73  0x015F
0xCB74  0x0163
0xCD20  0x02DD
0xCD4F  0x0150
0xCD55  0x0170
0xCD6F  0x0151
0xCD75  0x0171
0xCE20  0x02DB
0xCE41  0x0104
0xCE45  0x0118
0xCE49  0x012E
0xCE55  0x0172
0xCE61  0x0105
0xCE65  0x0119
0xCE69  0x012F
0xCE75  0x0173
0xCF20  0x02C7
0xCF43  0x010C
0xCF44  0x010E
0xCF45  0x011A
0xCF4C  0x013D
0xCF4E  0x0147
0xCF52  0x0158
0xCF53  0x0160
0xCF54  0x0164
0xCF5A  0x017D
0xCF63  0x010D
0xCF64  0x010F
0xCF65  0x011B
0xCF6C  0x013E
0xCF6E  0x0148
0xCF72  0x0159
0xCF73  0x0161
0xCF74  0x0165
0xCF7A  0x017E
