# Method, Target component, Property, Sub-component, Restriction
REPLY,VEVENT,EXRULE,NONE,ZEROPLUS
REPLY,VEVENT,GEO,NONE,ZEROORONE
REPLY,VEVENT,LASTMODIFIED,NONE,ZEROORONE
REPLY,VEVENT,LOCATION,NONE,ZEROORONE
REPLY,VEVENT,PRIORITY,NONE,ZEROORONE
REPLY,VEVENT,RDATE,NONE,ZEROPLUS
REPLY,VEVENT,RELATEDTO,NONE,ZEROPLUS
REPLY,VEVENT,RESOURCES,NONE,ZEROORONE
REPLY,VEVENT,REQUESTSTATUS,NONE,ZEROPLUS
REPLY,VEVENT,RRULE,NONE,ZEROPLUS
REPLY,VEVENT,STATUS,NONE,ZEROORONE
REPLY,VEVENT,SUMMARY,NONE,ZEROORONE
REPLY,VEVENT,TRANSP,NONE,ZEROORONE
REPLY,VEVENT,URL,NONE,ZEROORONE
REPLY,VEVENT,X,NONE,ZEROPLUS
REPLY,VEVENT,NONE,VTIMEZONE,ZEROORONE,must_if_tz_ref
REPLY,VEVENT,NONE,X,ZEROPLUS
REPLY,VEVENT,NONE,VALARM,ZERO
REPLY,VEVENT,NONE,VFREEBUSY,ZERO
REPLY,VEVENT,NONE,VJOURNAL,ZERO
REPLY,VEVENT,NONE,VTODO,ZERO
ADD,VEVENT,NONE,NONE,ONE
ADD,VEVENT,DTSTAMP,NONE,ONE
ADD,VEVENT,DTSTART,NONE,ONE
ADD,VEVENT,ORGANIZER,NONE,ONE
ADD,VEVENT,SEQUENCE,NONE,ONE
ADD,VEVENT,SUMMARY,NONE,ONE
ADD,VEVENT,UID,NONE,ONE
ADD,VEVENT,ATTACH,NONE,ZEROPLUS
ADD,VEVENT,ATTENDEE,NONE,ZEROPLUS
ADD,VEVENT,CATEGORIES,NONE,ZEROPLUS #Non-standard
ADD,VEVENT,CLASS,NONE,ZEROORONE
ADD,VEVENT,COMMENT,NONE,ZEROORONE
ADD,VEVENT,CONTACT,NONE,ZEROPLUS
ADD,VEVENT,CREATED,NONE,ZEROORONE
ADD,VEVENT,DESCRIPTION,NONE,ZEROORONE
ADD,VEVENT,DTEND,NONE,ONEEXCLUSIVE,no_duration
ADD,VEVENT,DURATION,NONE,ONEEXCLUSIVE,no_duration
ADD,VEVENT,EXDATE,NONE,ZEROPLUS
ADD,VEVENT,EXRULE,NONE,ZEROPLUS
ADD,VEVENT,GEO,NONE,ZEROORONE
ADD,VEVENT,LASTMODIFIED,NONE,ZEROORONE
ADD,VEVENT,LOCATION,NONE,ZEROORONE
ADD,VEVENT,PRIORITY,NONE,ZEROORONE
ADD,VEVENT,RDATE,NONE,ZEROPLUS
ADD,VEVENT,RELATEDTO,NONE,ZEROPLUS
ADD,VEVENT,RESOURCES,NONE,ZEROORONE
ADD,VEVENT,RRULE,NONE,ZEROPLUS
ADD,VEVENT,STATUS,NONE,ZEROORONE,may_be_tent_conf
ADD,VEVENT,TRANSP,NONE,ZEROORONE
ADD,VEVENT,URL,NONE,ZEROORONE
ADD,VEVENT,X,NONE,ZEROPLUS
ADD,VEVENT,RECURRENCEID,NONE,ZERO,must_be_recurring
ADD,VEVENT,REQUESTSTATUS,NONE,ZERO
ADD,VEVENT,NONE,VALARM,ZEROPLUS
ADD,VEVENT,NONE,VTIMEZONE,ZEROPLUS,must_if_tz_ref
ADD,VEVENT,NONE,X,ZEROPLUS
ADD,VEVENT,NONE,VFREEBUSY,ZERO
ADD,VEVENT,NONE,VTODO,ZERO
ADD,VEVENT,NONE,VJOURNAL,ZERO
CANCEL,VEVENT,NONE,NONE,ONEPLUS
CANCEL,VEVENT,ATTENDEE,NONE,ZEROPLUS
CANCEL,VEVENT,DTSTAMP,NONE,ONE
CANCEL,VEVENT,ORGANIZER,NONE,ONE
CANCEL,VEVENT,SEQUENCE,NONE,ONE
CANCEL,VEVENT,UID,NONE,ONE
CANCEL,VEVENT,COMMENT,NONE,ZEROORONE
CANCEL,VEVENT,ATTACH,NONE,ZEROPLUS
CANCEL,VEVENT,CATEGORIES,NONE,ZEROPLUS #Non-standard
CANCEL,VEVENT,CLASS,NONE,ZEROORONE
CANCEL,VEVENT,CONTACT,NONE,ZEROPLUS
CANCEL,VEVENT,CREATED,NONE,ZEROORONE
CANCEL,VEVENT,DESCRIPTION,NONE,ZEROORONE
CANCEL,VEVENT,DTEND,NONE,ONEEXCLUSIVE ,no_duration
CANCEL,VEVENT,DTSTART,NONE,ZEROORONE
CANCEL,VEVENT,DURATION,NONE,ONEEXCLUSIVE,no_duration
CANCEL,VEVENT,EXDATE,NONE,ZEROPLUS
CANCEL,VEVENT,EXRULE,NONE,ZEROPLUS
CANCEL,VEVENT,GEO,NONE,ZEROORONE
CANCEL,VEVENT,LASTMODIFIED,NONE,ZEROORONE
CANCEL,VEVENT,LOCATION,NONE,ZEROORONE
CANCEL,VEVENT,PRIORITY,NONE,ZEROORONE
CANCEL,VEVENT,RDATE,NONE,ZEROPLUS
CANCEL,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
CANCEL,VEVENT,RELATEDTO,NONE,ZEROPLUS
CANCEL,VEVENT,RESOURCES,NONE,ZEROORONE
CANCEL,VEVENT,RRULE,NONE,ZEROPLUS
CANCEL,VEVENT,STATUS,NONE,ZEROORONE,must_be_canceled_no_attendee
CANCEL,VEVENT,SUMMARY,NONE,ZEROORONE
CANCEL,VEVENT,TRANSP,NONE,ZEROORONE
CANCEL,VEVENT,URL,NONE,ZEROORONE
CANCEL,VEVENT,X,NONE,ZEROPLUS
CANCEL,VEVENT,REQUESTSTATUS,NONE,ZERO
CANCEL,VEVENT,NONE,VTIMEZONE,ZEROPLUS,must_if_tz_ref
CANCEL,VEVENT,NONE,X,ZEROPLUS
CANCEL,VEVENT,NONE,VTODO,ZERO
CANCEL,VEVENT,NONE,VJOURNAL,ZERO
CANCEL,VEVENT,NONE,VFREEBUSY,ZERO
CANCEL,VEVENT,NONE,VALARM,ZERO
REFRESH,VEVENT,NONE,NONE,ONE
REFRESH,VEVENT,ATTENDEE,NONE,ONE
REFRESH,VEVENT,DTSTAMP,NONE,ONE
REFRESH,VEVENT,ORGANIZER,NONE,ONE
REFRESH,VEVENT,UID,NONE,ONE
REFRESH,VEVENT,COMMENT,NONE,ZEROORONE
REFRESH,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
REFRESH,VEVENT,X,NONE,ZEROPLUS
REFRESH,VEVENT,ATTACH,NONE,ZERO
REFRESH,VEVENT,CATEGORIES,NONE,ZERO
REFRESH,VEVENT,CLASS,NONE,ZERO
REFRESH,VEVENT,CONTACT,NONE,ZERO
REFRESH,VEVENT,CREATED,NONE,ZERO
REFRESH,VEVENT,DESCRIPTION,NONE,ZERO
REFRESH,VEVENT,DTEND,NONE,ZERO
REFRESH,VEVENT,DTSTART,NONE,ZERO
REFRESH,VEVENT,DURATION,NONE,ZERO
REFRESH,VEVENT,EXDATE,NONE,ZERO
REFRESH,VEVENT,EXRULE,NONE,ZERO
REFRESH,VEVENT,GEO,NONE,ZERO
REFRESH,VEVENT,LASTMODIFIED,NONE,ZERO
REFRESH,VEVENT,LOCATION,NONE,ZERO
REFRESH,VEVENT,PRIORITY,NONE,ZERO
REFRESH,VEVENT,RDATE,NONE,ZERO
REFRESH,VEVENT,RELATEDTO,NONE,ZERO
REFRESH,VEVENT,REQUESTSTATUS,NONE,ZERO
REFRESH,VEVENT,RESOURCES,NONE,ZERO
REFRESH,VEVENT,RRULE,NONE,ZERO
REFRESH,VEVENT,SEQUENCE,NONE,ZERO
REFRESH,VEVENT,STATUS,NONE,ZERO
REFRESH,VEVENT,SUMMARY,NONE,ZERO
REFRESH,VEVENT,TRANSP,NONE,ZERO
REFRESH,VEVENT,URL,NONE,ZERO
REFRESH,VEVENT,NONE,X,ZEROPLUS
REFRESH,VEVENT,NONE,VTODO,ZERO
REFRESH,VEVENT,NONE,VJOURNAL,ZERO
REFRESH,VEVENT,NONE,VFREEBUSY,ZERO
REFRESH,VEVENT,NONE,VTIMEZONE,ZERO,must_if_tz_ref
REFRESH,VEVENT,NONE,VALARM,ZERO
COUNTER,VEVENT,NONE,NONE,ONE
COUNTER,VEVENT,DTSTAMP,NONE,ONE
COUNTER,VEVENT,DTSTART,NONE,ONE
COUNTER,VEVENT,ORGANIZER,NONE,ONE
COUNTER,VEVENT,SEQUENCE,NONE,ONE
COUNTER,VEVENT,SUMMARY,NONE,ONE
COUNTER,VEVENT,UID,NONE,ONE
COUNTER,VEVENT,ATTACH,NONE,ZEROPLUS
COUNTER,VEVENT,ATTENDEE,NONE,ZEROPLUS
COUNTER,VEVENT,CATEGORIES,NONE,ZEROPLUS #Non-standard
COUNTER,VEVENT,CLASS,NONE,ZEROORONE
COUNTER,VEVENT,COMMENT,NONE,ZEROORONE
COUNTER,VEVENT,CONTACT,NONE,ZEROPLUS
COUNTER,VEVENT,CREATED,NONE,ZEROORONE
COUNTER,VEVENT,DESCRIPTION,NONE,ZEROORONE
COUNTER,VEVENT,DTEND,NONE,ONEEXCLUSIVE,no_duration
COUNTER,VEVENT,DURATION,NONE,ONEEXCLUSIVE,no_duration
COUNTER,VEVENT,EXDATE,NONE,ZEROPLUS
COUNTER,VEVENT,EXRULE,NONE,ZEROPLUS
COUNTER,VEVENT,GEO,NONE,ZEROORONE
COUNTER,VEVENT,LASTMODIFIED,NONE,ZEROORONE
COUNTER,VEVENT,LOCATION,NONE,ZEROORONE
COUNTER,VEVENT,PRIORITY,NONE,ZEROORONE
COUNTER,VEVENT,RDATE,NONE,ZEROPLUS
COUNTER,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
COUNTER,VEVENT,RELATEDTO,NONE,ZEROPLUS
COUNTER,VEVENT,REQUESTSTATUS,NONE,ZEROPLUS
COUNTER,VEVENT,RESOURCES,NONE,ZEROORONE
COUNTER,VEVENT,RRULE,NONE,ZEROPLUS
COUNTER,VEVENT,STATUS,NONE,ZEROORONE,may_be_tent_conf_cancel
COUNTER,VEVENT,TRANSP,NONE,ZEROORONE
COUNTER,VEVENT,URL,NONE,ZEROORONE
COUNTER,VEVENT,X,NONE,ZEROPLUS
COUNTER,VEVENT,NONE,VALARM,ZEROPLUS
COUNTER,VEVENT,NONE,VTIMEZONE,ZEROPLUS,must_if_tz_ref
COUNTER,VEVENT,NONE,X,ZEROPLUS
COUNTER,VEVENT,NONE,VTODO,ZERO
COUNTER,VEVENT,NONE,VJOURNAL,ZERO
COUNTER,VEVENT,NONE,VFREEBUSY,ZERO
DECLINECOUNTER,VEVENT,NONE,NONE,ONE
DECLINECOUNTER,VEVENT,DTSTAMP,NONE,ONE
DECLINECOUNTER,VEVENT,ORGANIZER,NONE,ONE
DECLINECOUNTER,VEVENT,UID,NONE,ONE
DECLINECOUNTER,VEVENT,COMMENT,NONE,ZEROORONE
DECLINECOUNTER,VEVENT,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
DECLINECOUNTER,VEVENT,REQUESTSTATUS,NONE,ZEROPLUS
DECLINECOUNTER,VEVENT,SEQUENCE,NONE,ZERO
DECLINECOUNTER,VEVENT,X,NONE,ZEROPLUS
DECLINECOUNTER,VEVENT,ATTACH,NONE,ZERO
DECLINECOUNTER,VEVENT,ATTENDEE,NONE,ZERO
DECLINECOUNTER,VEVENT,CATEGORIES,NONE,ZERO
DECLINECOUNTER,VEVENT,CLASS,NONE,ZERO
DECLINECOUNTER,VEVENT,CONTACT,NONE,ZERO
DECLINECOUNTER,VEVENT,CREATED,NONE,ZERO
DECLINECOUNTER,VEVENT,DESCRIPTION,NONE,ZERO
DECLINECOUNTER,VEVENT,DTEND,NONE,ZERO
DECLINECOUNTER,VEVENT,DTSTART,NONE,ZERO
DECLINECOUNTER,VEVENT,DURATION,NONE,ZERO
DECLINECOUNTER,VEVENT,EXDATE,NONE,ZERO
DECLINECOUNTER,VEVENT,EXRULE,NONE,ZERO
DECLINECOUNTER,VEVENT,GEO,NONE,ZERO
DECLINECOUNTER,VEVENT,LASTMODIFIED,NONE,ZERO
DECLINECOUNTER,VEVENT,LOCATION,NONE,ZERO
DECLINECOUNTER,VEVENT,PRIORITY,NONE,ZERO
DECLINECOUNTER,VEVENT,RDATE,NONE,ZERO
DECLINECOUNTER,VEVENT,RELATEDTO,NONE,ZERO
DECLINECOUNTER,VEVENT,RESOURCES,NONE,ZERO
DECLINECOUNTER,VEVENT,RRULE,NONE,ZERO
DECLINECOUNTER,VEVENT,STATUS,NONE,ZERO
DECLINECOUNTER,VEVENT,SUMMARY,NONE,ZERO
DECLINECOUNTER,VEVENT,TRANSP,NONE,ZERO
DECLINECOUNTER,VEVENT,URL,NONE,ZERO
DECLINECOUNTER,VEVENT,NONE,X,ZEROPLUS
DECLINECOUNTER,VEVENT,NONE,VTODO,ZERO
DECLINECOUNTER,VEVENT,NONE,VJOURNAL,ZERO
DECLINECOUNTER,VEVENT,NONE,VFREEBUSY,ZERO
DECLINECOUNTER,VEVENT,NONE,VTIMEZONE,ZERO,must_if_tz_ref
DECLINECOUNTER,VEVENT,NONE,VALARM,ZERO
PUBLISH,VFREEBUSY,NONE,NONE,ONEPLUS
PUBLISH,VFREEBUSY,DTSTAMP,NONE,ONE
PUBLISH,VFREEBUSY,DTSTART,NONE,ONE
PUBLISH,VFREEBUSY,DTEND,NONE,ONE
PUBLISH,VFREEBUSY,FREEBUSY,NONE,ONEPLUS
PUBLISH,VFREEBUSY,ORGANIZER,NONE,ONE
PUBLISH,VFREEBUSY,COMMENT,NONE,ZEROORONE
PUBLISH,VFREEBUSY,CONTACT,NONE,ZEROPLUS
PUBLISH,VFREEBUSY,X,NONE,ZEROPLUS
PUBLISH,VFREEBUSY,URL,NONE,ZEROORONE
PUBLISH,VFREEBUSY,ATTENDEE,NONE,ZERO
PUBLISH,VFREEBUSY,DURATION,NONE,ZERO
PUBLISH,VFREEBUSY,REQUESTSTATUS,NONE,ZERO
PUBLISH,VFREEBUSY,UID,NONE,ZERO
PUBLISH,VFREEBUSY,NONE,X,ZEROPLUS
PUBLISH,VFREEBUSY,NONE,VEVENT,ZERO
PUBLISH,VFREEBUSY,NONE,VTODO,ZERO
PUBLISH,VFREEBUSY,NONE,VJOURNAL,ZERO
PUBLISH,VFREEBUSY,NONE,VTIMEZONE,ZERO,must_if_tz_ref
PUBLISH,VFREEBUSY,NONE,VALARM,ZERO
REQUEST,VFREEBUSY,NONE,NONE,ONE
REQUEST,VFREEBUSY,ATTENDEE,NONE,ONEPLUS
REQUEST,VFREEBUSY,DTEND,NONE,ONE
REQUEST,VFREEBUSY,DTSTAMP,NONE,ONE
REQUEST,VFREEBUSY,DTSTART,NONE,ONE
REQUEST,VFREEBUSY,ORGANIZER,NONE,ONE
REQUEST,VFREEBUSY,UID,NONE,ONE
REQUEST,VFREEBUSY,COMMENT,NONE,ZEROORONE
REQUEST,VFREEBUSY,CONTACT,NONE,ZEROPLUS
REQUEST,VFREEBUSY,X,NONE,ZEROPLUS
REQUEST,VFREEBUSY,FREEBUSY,NONE,ZERO
REQUEST,VFREEBUSY,DURATION,NONE,ZERO
REQUEST,VFREEBUSY,REQUESTSTATUS,NONE,ZERO
REQUEST,VFREEBUSY,URL,NONE,ZERO
REQUEST,VFREEBUSY,NONE,X,ZEROPLUS
REQUEST,VFREEBUSY,NONE,VALARM,ZERO
REQUEST,VFREEBUSY,NONE,VEVENT,ZERO
REQUEST,VFREEBUSY,NONE,VTODO,ZERO
REQUEST,VFREEBUSY,NONE,VJOURNAL,ZERO
REQUEST,VFREEBUSY,NONE,VTIMEZONE,ZERO
REPLY,VFREEBUSY,NONE,NONE,ONE
REPLY,VFREEBUSY,ATTENDEE,NONE,ONE
REPLY,VFREEBUSY,DTSTAMP,NONE,ONE
REPLY,VFREEBUSY,DTEND,NONE,ONE
REPLY,VFREEBUSY,DTSTART,NONE,ONE
REPLY,VFREEBUSY,FREEBUSY,NONE,ONEPLUS
REPLY,VFREEBUSY,ORGANIZER,NONE,ONE
REPLY,VFREEBUSY,UID,NONE,ONE
REPLY,VFREEBUSY,COMMENT,NONE,ZEROORONE
REPLY,VFREEBUSY,CONTACT,NONE,ZEROPLUS
REPLY,VFREEBUSY,REQUESTSTATUS,NONE,ZEROPLUS
REPLY,VFREEBUSY,URL,NONE,ZEROORONE
REPLY,VFREEBUSY,X,NONE,ZEROPLUS
REPLY,VFREEBUSY,DURATION,NONE,ZERO
REPLY,VFREEBUSY,SEQUENCE,NONE,ZERO
REPLY,VFREEBUSY,NONE,X,ZEROPLUS
REPLY,VFREEBUSY,NONE,VALARM,ZERO
REPLY,VFREEBUSY,NONE,VEVENT,ZERO
REPLY,VFREEBUSY,NONE,VTODO,ZERO
REPLY,VFREEBUSY,NONE,VJOURNAL,ZERO
REPLY,VFREEBUSY,NONE,VTIMEZONE,ZERO
PUBLISH,VTODO,NONE,NONE,ONEPLUS
PUBLISH,VTODO,DTSTAMP,NONE,ONE
PUBLISH,VTODO,DTSTART,NONE,ONE
PUBLISH,VTODO,ORGANIZER,NONE,ONE
PUBLISH,VTODO,PRIORITY,NONE,ONE
PUBLISH,VTODO,SEQUENCE,NONE,ZEROORONE
PUBLISH,VTODO,SUMMARY,NONE,ONE
PUBLISH,VTODO,UID,NONE,ONE
PUBLISH,VTODO,ATTACH,NONE,ZEROPLUS
PUBLISH,VTODO,CATEGORIES,NONE,ZEROPLUS #Non-Standard
PUBLISH,VTODO,CLASS,NONE,ZEROORONE
PUBLISH,VTODO,COMMENT,NONE,ZEROORONE
PUBLISH,VTODO,CONTACT,NONE,ZEROPLUS
PUBLISH,VTODO,CREATED,NONE,ZEROORONE
PUBLISH,VTODO,DESCRIPTION,NONE,ZEROORONE
PUBLISH,VTODO,DUE,NONE,ZEROORONE
PUBLISH,VTODO,DURATION,NONE,ZEROORONE
PUBLISH,VTODO,EXDATE,NONE,ZEROPLUS
PUBLISH,VTODO,EXRULE,NONE,ZEROPLUS
PUBLISH,VTODO,GEO,NONE,ZEROORONE
PUBLISH,VTODO,LASTMODIFIED,NONE,ZEROORONE
PUBLISH,VTODO,LOCATION,NONE,ZEROORONE
PUBLISH,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
PUBLISH,VTODO,RDATE,NONE,ZEROPLUS
PUBLISH,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
PUBLISH,VTODO,RELATEDTO,NONE,ZEROPLUS
PUBLISH,VTODO,RESOURCES,NONE,ZEROORONE
PUBLISH,VTODO,RRULE,NONE,ZEROPLUS
PUBLISH,VTODO,STATUS,NONE,ZEROORONE
PUBLISH,VTODO,URL,NONE,ZEROORONE
PUBLISH,VTODO,X,NONE,ZEROPLUS
PUBLISH,VTODO,ATTENDEE,NONE,ZERO
PUBLISH,VTODO,REQUESTSTATUS,NONE,ZERO
PUBLISH,VTODO,NONE,VTIMEZONE,ZEROPLUS
PUBLISH,VTODO,NONE,VALARM,ZEROPLUS
PUBLISH,VTODO,NONE,X,ZEROPLUS
PUBLISH,VTODO,NONE,VFREEBUSY,ZERO
PUBLISH,VTODO,NONE,VEVENT,ZERO
PUBLISH,VTODO,NONE,VJOURNAL,ZERO
REQUEST,VTODO,NONE,NONE,ONEPLUS
REQUEST,VTODO,ATTENDEE,NONE,ONEPLUS
REQUEST,VTODO,DTSTAMP,NONE,ONE
REQUEST,VTODO,DTSTART,NONE,ONE
REQUEST,VTODO,ORGANIZER,NONE,ONE
REQUEST,VTODO,PRIORITY,NONE,ONE
REQUEST,VTODO,SEQUENCE,NONE,ZEROORONE
REQUEST,VTODO,SUMMARY,NONE,ONE
REQUEST,VTODO,UID,NONE,ONE
REQUEST,VTODO,ATTACH,NONE,ZEROPLUS
REQUEST,VTODO,CATEGORIES,NONE,ZEROPLUS #Non-Standard
REQUEST,VTODO,CLASS,NONE,ZEROORONE
REQUEST,VTODO,COMMENT,NONE,ZEROORONE
REQUEST,VTODO,CONTACT,NONE,ZEROPLUS
REQUEST,VTODO,CREATED,NONE,ZEROORONE
REQUEST,VTODO,DESCRIPTION,NONE,ZEROORONE
REQUEST,VTODO,DUE,NONE,ZEROORONE
REQUEST,VTODO,DURATION,NONE,ZEROORONE
REQUEST,VTODO,EXDATE,NONE,ZEROPLUS
REQUEST,VTODO,EXRULE,NONE,ZEROPLUS
REQUEST,VTODO,GEO,NONE,ZEROORONE
REQUEST,VTODO,LASTMODIFIED,NONE,ZEROORONE
REQUEST,VTODO,LOCATION,NONE,ZEROORONE
REQUEST,VTODO,PERCENTCOMPLETE,NONE,ZEROORONE
REQUEST,VTODO,RDATE,NONE,ZEROPLUS
REQUEST,VTODO,RECURRENCEID,NONE,ZEROORONE,must_be_recurring
REQUEST,VTODO,RELATEDTO,NONE,ZEROPLUS
REQUEST,VTODO,RESOURCES,NONE,ZEROORONE
REQUEST,VTODO,RRULE,NONE,ZEROPLUS
REQUEST,VTODO,STATUS,NONE,ZEROORONE,may_be_comp_need_process
REQUEST,VTODO,URL,NONE,ZEROORONE
REQUEST,VTODO,X,NONE,ZEROPLUS
REQUEST,VTODO,REQUESTSTATUS,NONE,ZERO
REQUEST,VTODO,NONE,VALARM,ZEROPLUS
REQUEST,VTODO,NONE,VTIMEZONE,ZEROPLUS
REQUEST,VTODO,NONE,X,ZEROPLUS
REQUEST,VTODO,NONE,VEVENT,ZERO
REQUEST,VTODO,NONE,VFREEBUSY,ZERO
REQUEST,VTODO,NONE,VJOURNAL,ZERO
REPLY,VTODO,NONE,NONE,ONEPLUS
REPLY,VTODO,ATTENDEE,NONE,ONEPLUS
REPLY,VTODO,DTSTAMP,NONE,ONE
REPLY,VTODO,ORGANIZER,NONE,ONE
REPLY,VTODO,REQUESTSTATUS,NONE,ONEPLUS
REPLY,VTODO,UID,NONE,ONE
