0xC6D8	0x00A8
0xF9E4	0x2569
0xF9EA	0x256A
0xF9F3	0x256B
0xF9E1	0x256C
0xF9FA	0x256D
0xF9FB	0x256E
0xF9FD	0x256F
0xF9FC	0x2570
0xF9FE	0x2593
0xC6E6	0x273D
0xC8D6	0x2E80
0xC8D7	0x2E84
0xC8D8	0x2E86
0xC8D9	0x2E87
0xC8DA	0x2E88
0xC8DB	0x2E8A
0xC8DC	0x2E8C
0xC8DD	0x2E8D
0xC8DE	0x2E95
0xC8DF	0x2E9C
0xC8E0	0x2E9D
0xC8E1	0x2EA5
0xC8E2	0x2EA7
0xC8E3	0x2EAA
0xC8E4	0x2EAC
0xC8E5	0x2EAE
0xC8E6	0x2EB6
0xC8E7	0x2EBC
0xC8E8	0x2EBE
0xC8E9	0x2EC6
0xC8EA	0x2ECA
0xC8EB	0x2ECC
0xC8EC	0x2ECD
0xC8ED	0x2ECF
0xC8EE	0x2ED6
0xC8EF	0x2ED7
0xC8F0	0x2EDE
0xC8F1	0x2EE3
0xC6CD	0x2F33
0xC6E0	0x3005
0xC6E1	0x3006
0xC6E2	0x3007
0xC6E7	0x3041
0xC6E8	0x3042
0xC6E9	0x3043
0xC6EA	0x3044
0xC6EB	0x3045
0xC6EC	0x3046
0xC6ED	0x3047
0xC6EE	0x3048
0xC6EF	0x3049
0xC6F0	0x304A
0xC6F1	0x304B
0xC6F2	0x304C
0xC6F3	0x304D
0xC6F4	0x304E
0xC6F5	0x304F
0xC6F6	0x3050
0xC6F7	0x3051
0xC6F8	0x3052
0xC6F9	0x3053
0xC6FA	0x3054
0xC6FB	0x3055
0xC6FC	0x3056
0xC6FD	0x3057
0xC6FE	0x3058
0xC740	0x3059
0xC741	0x305A
0xC742	0x305B
0xC743	0x305C
0xC744	0x305D
0xC745	0x305E
0xC746	0x305F
0xC747	0x3060
0xC748	0x3061
0xC749	0x3062
0xC74A	0x3063
0xC74B	0x3064
0xC74C	0x3065
0xC74D	0x3066
0xC74E	0x3067
0xC74F	0x3068
0xC750	0x3069
0xC751	0x306A
0xC752	0x306B
0xC753	0x306C
0xC754	0x306D
0xC755	0x306E
0xC756	0x306F
0xC757	0x3070
0xC758	0x3071
0xC759	0x3072
0xC75A	0x3073
0xC75B	0x3074
0xC75C	0x3075
0xC75D	0x3076
0xC75E	0x3077
0xC75F	0x3078
0xC760	0x3079
0xC761	0x307A
0xC762	0x307B
0xC763	0x307C
0xC764	0x307D
0xC765	0x307E
0xC766	0x307F
0xC767	0x3080
0xC768	0x3081
0xC769	0x3082
0xC76A	0x3083
0xC76B	0x3084
0xC76C	0x3085
0xC76D	0x3086
0xC76E	0x3087
0xC76F	0x3088
0xC770	0x3089
0xC771	0x308A
0xC772	0x308B
0xC773	0x308C
0xC774	0x308D
0xC775	0x308E
0xC776	0x308F
0xC777	0x3090
0xC778	0x3091
0xC779	0x3092
0xC77A	0x3093
0xC8D4	0x309B
0xC8D5	0x309C
0xC6DC	0x309D
0xC6DD	0x309E
0xC77B	0x30A1
0xC77C	0x30A2
0xC77D	0x30A3
0xC77E	0x30A4
0xC7A1	0x30A5
0xC7A2	0x30A6
0xC7A3	0x30A7
0xC7A4	0x30A8
0xC7A5	0x30A9
0xC7A6	0x30AA
0xC7A7	0x30AB
0xC7A8	0x30AC
0xC7A9	0x30AD
0xC7AA	0x30AE
0xC7AB	0x30AF
0xC7AC	0x30B0
0xC7AD	0x30B1
0xC7AE	0x30B2
0xC7AF	0x30B3
0xC7B0	0x30B4
0xC7B1	0x30B5
0xC7B2	0x30B6
0xC7B3	0x30B7
0xC7B4	0x30B8
0xC7B5	0x30B9
0xC7B6	0x30BA
0xC7B7	0x30BB
0xC7B8	0x30BC
0xC7B9	0x30BD
0xC7BA	0x30BE
0xC7BB	0x30BF
0xC7BC	0x30C0
0xC7BD	0x30C1
0xC7BE	0x30C2
0xC7BF	0x30C3
0xC7C0	0x30C4
0xC7C1	0x30C5
0xC7C2	0x30C6
0xC7C3	0x30C7
0xC7C4	0x30C8
0xC7C5	0x30C9
0xC7C6	0x30CA
0xC7C7	0x30CB
0xC7C8	0x30CC
0xC7C9	0x30CD
0xC7CA	0x30CE
0xC7CB	0x30CF
0xC7CC	0x30D0
0xC7CD	0x30D1
0xC7CE	0x30D2
0xC7CF	0x30D3
0xC7D0	0x30D4
0xC7D1	0x30D5
0xC7D2	0x30D6
0xC7D3	0x30D7
0xC7D4	0x30D8
0xC7D5	0x30D9
0xC7D6	0x30DA
0xC7D7	0x30DB
0xC7D8	0x30DC
0xC7D9	0x30DD
0xC7DA	0x30DE
0xC7DB	0x30DF
0xC7DC	0x30E0
0xC7DD	0x30E1
0xC7DE	0x30E2
0xC7DF	0x30E3
0xC7E0	0x30E4
0xC7E1	0x30E5
0xC7E2	0x30E6
0xC7E3	0x30E7
0xC7E4	0x30E8
0xC7E5	0x30E9
0xC7E6	0x30EA
0xC7E7	0x30EB
0xC7E8	0x30EC
0xC7E9	0x30ED
0xC7EA	0x30EE
0xC7EB	0x30EF
0xC7EC	0x30F0
0xC7ED	0x30F1
0xC7EE	0x30F2
0xC7EF	0x30F3
0xC7F0	0x30F4
0xC7F1	0x30F5
0xC7F2	0x30F6
0xC6E3	0x30FC
0xC6DA	0x30FD
0xC6DB	0x30FE
0xC8D1	0x3231
0x9277	0x3435
0x96DF	0x3440
0x89D5	0x344C
0x93CD	0x3464
0x9BDF	0x3473
0xFA68	0x347A
0x89DA	0x347D
0x8F59	0x347E
0x89DB	0x3493
0x8F5D	0x3496
0x89DC	0x34A5
0x96F7	0x34AF
0x8ADA	0x34BC
0x8BDC	0x34C1
0x97DB	0x34C8
0x9E53	0x34DF
0x9DAA	0x34E4
0x9BEA	0x34FB
0x8A6E	0x3506
0x8BC8	0x353E
0x89E8	0x3551
0x89EA	0x3553
0x8C4B	0x3559
0xFB70	0x3561
0x89ED	0x356D
0x94DD	0x3570
0x89EE	0x3572
0x9EB4	0x3577
0x8AD3	0x3578
0x92DB	0x3584
0x94DB	0x3597
0x89F9	0x3598
0xFB7A	0x35A1
0x89FB	0x35A5
0x9EFC	0x35AD
0x89FC	0x35BF
0x89BF	0x35C1
0x89FE	0x35C5
0x89E6	0x35C7
0x9D46	0x35CA
0x9DEE	0x35CE
0xA07E	0x35D2
0xA068	0x35D6
0x98E9	0x35DB
0x8B68	0x35DD
0x8DFD	0x35F1
0x8BBE	0x35F2
0x9FD9	0x35F3
0x8AEB	0x35FB
0x9FD7	0x35FE
0x8B6A	0x3609
0x9C5C	0x3618
0x8BB1	0x361A
0xFB5E	0x3623
0x9DF3	0x362D
0xA0D0	0x3635
0xFC66	0x3639
0x92E9	0x363E
0x9AEC	0x3647
0x8FAB	0x3648
0xFA48	0x3649
0x8E45	0x364E
0x9C6F	0x365F
0x9EDE	0x367A
0x89EF	0x3681
0x96E9	0x369A
0x9EBB	0x36A5
0x94DE	0x36AA
0x9EB8	0x36AC
0x97BA	0x36B0
0xFB65	0x36B1
0x95D6	0x36B5
0x9CBB	0x36B9
0x97DA	0x36BC
0x8F45	0x36C1
0xFB7D	0x36C3
0x9158	0x36C4
0xFE64	0x36C5
0x9856	0x36C7
0x9B4D	0x36C8
0x935B	0x36D3
0x95C7	0x36D4
0x97E7	0x36D6
0x9359	0x36DD
0x91F5	0x36E1
0x97B8	0x36E2
0xFDA2	0x36E5
0xFBB6	0x36E6
0x92FA	0x36F5
0x9357	0x3701
0x8BA6	0x3703
0xFBB9	0x3708
0x97B0	0x370A
0xFDC4	0x370D
0x9CA1	0x371C
0x91F2	0x3722
0x91F9	0x3723
0x8FF1	0x3725
0x9745	0x372C
0x9853	0x372D
0xFE78	0x3730
0xFBC1	0x3732
0x9251	0x3733
0x9DAD	0x373A
0xFD6C	0x3740
0xFA6B	0x3743
0x9BC2	0x3762
0x9A7B	0x376F
0x8B60	0x3797
0x934B	0x37A0
0x9ABD	0x37B9
0x91B7	0x37BE
0x95B4	0x37F2
0xFEC5	0x37F8
0x9EF0	0x37FB
0x8D64	0x380F
0x9269	0x3819
0x8D67	0x3820
0xFBEA	0x382D
0xFBEF	0x3836
0x8D68	0x3838
0x93EB	0x3863
0xFC42	0x38A0
0x9166	0x38C3
0xFACD	0x38CC
0x93DD	0x38D1
0x8BCC	0x38FA
0x8D6D	0x3908
0x8D6E	0x3914
0x96A8	0x3927
0xFCA6	0x3932
0x8D6F	0x393F
0x8D70	0x394D
0xFC64	0x3963
0x9060	0x3980
0x8D74	0x3989
0x97C3	0x398A
0x8AD0	0x3992
0x9274	0x3999
0x9BBE	0x399B
0x9CC8	0x39A1
0x9CBA	0x39A4
0x8D78	0x39B8
0x9EB9	0x39DC
0x955A	0x39E2
0x91B4	0x39E5
0x8A48	0x39EC
0x8D7D	0x39F8
0x8A7D	0x39FB
0x8AC2	0x39FE
0xFD4A	0x3A01
0x8DA1	0x3A03
0x8AD1	0x3A06
0xFCB4	0x3A17
0x8B47	0x3A18
0x93A4	0x3A29
0x9EDA	0x3A2A
0x8A51	0x3A34
0x8DA6	0x3A4B
0x9EC5	0x3A52
0xFCC4	0x3A57
0xA078	0x3A5C
0x94B5	0x3A5E
0xFCC2	0x3A66
0x8A6B	0x3A67
0x8DAB	0x3A97
0xFAE8	0x3AAB
0x8DAD	0x3ABD
0xFC49	0x3ADE
0x93C1	0x3AE0
0x906F	0x3AF0
0x8DB0	0x3AF2
0x947E	0x3AFB
0x90FA	0x3B0E
0x9479	0x3B19
0x8DB2	0x3B22
0xFCEE	0x3B2B
0x997B	0x3B39
0x8DB4	0x3B42
0x8DB7	0x3B58
0x91B3	0x3B60
0x8DBB	0x3B71
0x8DBA	0x3B72
0x8DBC	0x3B7B
0x9044	0x3B7C
0xFD4C	0x3B80
0x93E4	0x3B96
0x93E0	0x3B99
0xFD53	0x3BA1
0x8DC3	0x3BBC
0x9BB8	0x3BBE
0xFBF0	0x3BC2
0x93E9	0x3BC4
0x93F6	0x3BD7
0x8DC5	0x3BDD
0x8DCA	0x3BEC
0x8DCC	0x3BF2
0xFD5D	0x3BF3
0x93B5	0x3BF4
0xFD61	0x3C0D
0x9CF8	0x3C11
0x9252	0x3C15
0xA0E8	0x3C18
0x9CA5	0x3C54
0x8C56	0x3C8B
0x8DD6	0x3CCB
0x97C0	0x3CCD
0xA0DE	0x3CD1
0x97D2	0x3CD6
0xFAA5	0x3CDC
0xFDA3	0x3CEB
0x8DDB	0x3CEF
0x8EAF	0x3D13
0x91B5	0x3D1D
0xFD49	0x3D32
0xFDD1	0x3D3B
0x8DEB	0x3D46
0x97C6	0x3D4C
0xFDCE	0x3D4E
0x90FC	0x3D51
0xFC59	0x3D5F
0x96D6	0x3D62
0x97C5	0x3D69
0x8DEF	0x3D6A
0x97D7	0x3D6F
0x8DF0	0x3D75
0x96A6	0x3D7D
0xFBBF	0x3D85
0x8DF3	0x3D8A
0x9449	0x3D8F
0x8DF5	0x3D91
0x9872	0x3DA5
0x8E6B	0x3DAD
0xFAFD	0x3DB4
0x8F50	0x3DBF
0x9DCC	0x3DC6
0xFC65	0x3DC7
0x8C44	0x3DC9
0x996E	0x3DCC
0x94A1	0x3DCD
0x8F63	0x3DD3
0xA0DA	0x3DDB
0x9253	0x3DE7
0xFDE9	0x3DE8
0x9DB5	0x3DEB
0x9879	0x3DF3
0x9D5D	0x3DF7
0x8D63	0x3DFC
0x9669	0x3DFD
0x9F70	0x3E06
0xFC6A	0x3E40
0x8AC7	0x3E43
0x89D7	0x3E48
0xFE4D	0x3E55
0x9EDD	0x3E74
0xFEFB	0x3EA8
0x98BC	0x3EA9
0xFACC	0x3EAA
0x95B0	0x3EAD
0x9464	0x3EB1
0x936F	0x3EB8
0x94B9	0x3EBF
0x95EC	0x3EC2
0x91EE	0x3EC7
0x98C3	0x3ECA
0x95F6	0x3ECC
0x8FFD	0x3ED0
0x98C5	0x3ED1
0x9766	0x3ED6
0xFE6E	0x3ED7
0x97DD	0x3EDA
0x8CAA	0x3EDB
0x92D2	0x3EDE
0x9761	0x3EE1
0x98CB	0x3EE2
0x95F0	0x3EE7
0x975D	0x3EE9
0x91E3	0x3EEB
0x98CC	0x3EF0
0x9469	0x3EF3
0x98CD	0x3EF4
0x98CE	0x3EFA
0x95FC	0x3EFC
0x94A3	0x3EFF
0x9662	0x3F00
0xFEB6	0x3F04
0x9463	0x3F06
0x98D0	0x3F0E
0x98D1	0x3F53
0x9475	0x3F58
0xFAE0	0x3F59
0x9472	0x3F63
0x98D6	0x3F7C
0x8AF0	0x3F93
0x98D9	0x3FC0
0x98DB	0x3FD7
0x98DD	0x3FDC
0x98A8	0x3FE5
0x8A6D	0x3FED
0x8AFB	0x3FF9
0x8AAE	0x3FFA
0xFBC9	0x4004
0x8C5D	0x4009
0x98E4	0x401D
0x98E6	0x4039
0x98E8	0x4045
0x8A4D	0x4053
0x9257	0x4057
0x95DF	0x4062
0xA0AC	0x4065
0x98EB	0x406A
0x98EC	0x406F
0x8CC3	0x4071
0x98F4	0x40A8
0x8AB8	0x40BB
0x9EE7	0x40BF
0x94BC	0x40C8
0xFCD1	0x40D8
0x9CC6	0x40DF
0x9E7E	0x40FA
0x98FE	0x4103
0xFDE8	0x4104
0x9940	0x4109
0x94C9	0x410E
0x94D3	0x4132
0x9946	0x4167
0x90C0	0x416C
0x94D1	0x416E
0x9573	0x417F
0x93C2	0x4190
0x9948	0x41B2
0x994B	0x41C4
0x8E55	0x41CA
0x994E	0x41CF
0x8EFE	0x41DB
0x8E59	0x41EF
0x94EC	0x41F9
0x94EF	0x4211
0x8C60	0x4223
0x8F74	0x4240
0x9955	0x4260
0x9544	0x426A
0x8CCB	0x4276
0x9956	0x427A
0x9959	0x428C
0x995B	0x4294
0x8CC4	0x42A2
0xFA45	0x42B5
0x90B7	0x42B9
0x9743	0x42BC
0x95CD	0x42F4
0x97C9	0x42FB
0xFD50	0x42FC
0x8EB9	0x432B
0x95C6	0x436E
0x9967	0x4397
0x8AB9	0x43BA
0x8DFC	0x43C1
0x8A76	0x43D9
0x9D51	0x43DF
0x9973	0x43ED
0x9D4F	0x43F2
0x997A	0x4401
0x9564	0x4402
0x99A1	0x4413
0x99A5	0x4425
0x99A7	0x442D
0x8EED	0x447A
0x99AD	0x448F
0x946E	0x449F
0x8F70	0x44A0
0xFAD0	0x44A2
0x99B3	0x44B0
0xA053	0x44B7
0x965C	0x44C0
0xFD7A	0x44C5
0x97FE	0x44CE
0x92BD	0x44DD
0x97FD	0x44DF
0x8F64	0x44E4
0xFCF7	0x44E9
0x9562	0x44EA
0x97CD	0x44EB
0x9E64	0x44EC
0x924C	0x44F4
0x8EC9	0x4503
0x99BC	0x4504
0x9DA5	0x4509
0x8F54	0x450B
0x8F7C	0x4516
0x8EA2	0x451D
0x8F7A	0x4527
0x97AE	0x452E
0x96C8	0x4533
0x99C3	0x453B
0x90D6	0x453D
0x9CBE	0x453F
0x8F76	0x4543
0x9470	0x4551
0xFB4B	0x4552
0xFDCA	0x4555
0x8EC7	0x455C
0xA0F9	0x4562
0x8FA9	0x456A
0x99C7	0x4577
0x90D7	0x4585
0x9EDF	0x45E9
0x99CE	0x4606
0x8FBA	0x460F
0x8FEB	0x4615
0x99CF	0x4617
0x8FC2	0x465B
0x92C9	0x467A
0x97DC	0x4680
0x95B3	0x46CF
0x9C79	0x46D0
0x95B2	0x46F5
0x8FDB	0x4713
0x9BE3	0x4718
0x9E7A	0x474E
0x9BEE	0x477C
0x99DE	0x4798
0xFAFA	0x47A6
0x9EE5	0x47B6
0x8A52	0x47D5
0x99E1	0x47ED
0x8A67	0x47F4
0x8BB5	0x4800
0x8AAC	0x480B
0x99E9	0x4837
0xFBCA	0x485D
0x97DE	0x4871
0x95D1	0x489B
0x99F5	0x48AD
0xFC4A	0x48AE
0x9BA9	0x48D0
0xFBDC	0x48DD
0xFE56	0x48ED
0x9EA4	0x48F3
0x9D49	0x48FA
0x95DB	0x4906
0x89C5	0x4911
0x99F8	0x491E
0x9664	0x4925
0x9055	0x492A
0x96D4	0x492D
0x977C	0x4935
0x964D	0x493C
0x97E1	0x493E
0x9A48	0x4945
0x9A49	0x4951
0xFE7D	0x4953
0x90AA	0x4965
0x9A50	0x496A
0x9347	0x4972
0x8ED8	0x4989
0x90C9	0x49A1
0x9A55	0x49A7
0x90BC	0x49DF
0x9A58	0x49E5
0x8BB8	0x49E7
0x90D5	0x4A0F
0x9641	0x4A1D
0x9A5A	0x4A24
0x9A5C	0x4A35
0x97C2	0x4A96
0x8ABB	0x4AB4
0x9BAA	0x4AB8
0x90F5	0x4AD1
0x9A60	0x4AE4
0x9145	0x4AFF
0x8C58	0x4B10
0x9A63	0x4B19
0x8C49	0x4B20
0x8BB6	0x4B2C
0xFCCF	0x4B37
0x966B	0x4B6F
0x9A6E	0x4B70
0x914F	0x4B72
0x9746	0x4B7B
0xA0E6	0x4B7E
0x92D7	0x4B8E
0x9675	0x4B90
0x93D4	0x4B93
0x91BB	0x4B96
0x9679	0x4B97
0x9A70	0x4B9D
0x9678	0x4BBD
0x91CD	0x4BBE
0x9C4A	0x4BC0
0xA06F	0x4C04
0xA06A	0x4C07
0x915F	0x4C0E
0x9FA5	0x4C3B
0x89BA	0x4C3E
0x9ECD	0x4C5B
0x9A79	0x4C6D
0x9DCE	0x4C7D
0x8CD2	0x4C81
0x9D73	0x4CA4
0x96B9	0x4CAE
0x96BC	0x4CB0
0x9CD1	0x4CB7
0x89B7	0x4CCD
0x9EEE	0x4CE1
0xFB43	0x4CED
0x9EC9	0x4D09
0xFBD3	0x4D10
0x91AE	0x4D34
0x9D78	0x4D91
0x9D7B	0x4D9C
0x9EB3	0x4E04
0x9EB2	0x4E1A
0x9DD6	0x4E1C
0x994F	0x4E21
0x89CE	0x4E24
0x8BC0	0x4E28
0x9FC4	0x4E2A
0x8BD4	0x4E2C
0x8C72	0x4E2F
0xC6BF	0x4E36
0x8BF9	0x4E37
0x8946	0x4E3D
0xC6C0	0x4E3F
0xFAE5	0x4E49
0xC87B	0x4E5A
0x8BC6	0x4E5B
0x9C57	0x4E6A
0x9AFB	0x4E78
0x89D0	0x4E80
0x89CF	0x4E81
0xC6C1	0x4E85
0x89D1	0x4E87
0x89E2	0x4E89
0x927E	0x4E98
0x9DBA	0x4E9A
0xC6C2	0x4EA0
0x8C6F	0x4EA3
0xFBF8	0x4EB7
0x8BC7	0x4EBB
0x926B	0x4EBC
0x89D2	0x4EBF
0x9FCF	0x4ECE
0x9DA9	0x4EEA
0x89D3	0x4EEB
0x99E2	0x4EEE
0x9267	0x4EF8
0x92A4	0x4F03
0x8C73	0x4F17
0x894E	0x4F1A
0x894F	0x4F28
0x9278	0x4F29
0x91B6	0x4F32
0x89D4	0x4F37
0x9FD2	0x4F39
0x92A7	0x4F42
0x95A2	0x4F45
0x926E	0x4F4B
0x96EA	0x4F72
0x926F	0x4F8A
0x92A3	0x4FA2
0x8950	0x4FA8
0xFA57	0x4FAB
0x9866	0x4FB0
0x89D6	0x4FBD
0x98B2	0x4FC8
0x92AB	0x4FCC
0x96DE	0x4FE4
0x92AC	0x4FE5
0x8C70	0x4FF0
0x9F6E	0x4FF2
0x8EF2	0x4FF9
0x9F6C	0x4FFD
0x89D8	0x5003
0xFA59	0x5008
0x92A8	0x502E
0x9163	0x5034
0x8C40	0x503B
0x9F73	0x5056
0x92AD	0x5058
0x9BE9	0x5066
0x92A9	0x506C
0x92AA	0x5081
0x89D9	0x5088
0xFD56	0x5090
0x9FA8	0x50A6
0x8C71	0x50BC
0x92A1	0x50CD
0x90E3	0x50D0
0xA0A6	0x50D9
0x94AB	0x50DF
0xFC72	0x50E1
0x97C4	0x50F4
0x92AE	0x50FC
0xFA67	0x5101
0x92A2	0x510D
0xFA69	0x510E
0x9268	0x512B
0x8951	0x5156
0xFA6F	0x5160
0xFA71	0x516A
0x8952	0x5174
0x945A	0x5179
0xC6C3	0x5182
0x89DD	0x5186
0xC8A2	0x5188
0xC6C4	0x5196
0x9E52	0x519A
0x8953	0x519C
0x9E55	0x51A7
0x92BA	0x51A8
0xC6C5	0x51AB
0x8C5B	0x51AE
0xFA7D	0x51B2
0xFAA8	0x51B3
0x9A68	0x51B4
0xFA47	0x51B5
0xFA7E	0x51B8
0x92BB	0x51C3
0xFDB6	0x51C7
0xFAA2	0x51C9
0xFAA3	0x51CF
0xFAA4	0x51D1
0x9BB4	0x51D2
0xFAA6	0x51D3
0x89DF	0x51DB
0xFDDB	0x51DF
0xFAA9	0x51E2
0x8954	0x51E4
0xFAAB	0x51ED
0xFC7A	0x51F4
0x89E0	0x51FC
0x9F4F	0x51FE
0xC87D	0x5202
0x89E1	0x5205
0xFAB0	0x520B
0x9FCD	0x521F
0xA0E7	0x5220
0xFAB1	0x5226
0x89A6	0x5227
0x9EFA	0x5234
0xFAB2	0x523C
0xFAB4	0x5257
0x92C4	0x5259
0x9F6F	0x5260
0x8BB0	0x5268
0x9FAC	0x5273
0x89E3	0x5279
0x9BD3	0x528F
0x89E4	0x5290
0xFAB5	0x5294
0x9FD5	0x529A
0x8955	0x52A1
0x92C5	0x52A4
0x8956	0x52A8
0xFAB3	0x52B5
0xFAB6	0x52B9
0xFAB7	0x52C5
0x9EDC	0x52CC
0xFBC4	0x52D0
0x9F71	0x52D1
0xFABA	0x52E0
0x92C7	0x52E1
0xC6C6	0x52F9
0x9A4C	0x5301
0x8C68	0x5324
0x89E5	0x5327
0x9F7D	0x532C
0xA0A9	0x5332
0xFAC4	0x5333
0xC6C7	0x5338
0x8957	0x533B
0xFAAA	0x5342
0x8958	0x534E
0x8BE3	0x535D
0x8B61	0x535F
0x9AF1	0x5364
0x9EB7	0x5367
0xC6C8	0x5369
0xFAD1	0x536D
0xFAD2	0x5374
0x9EBA	0x537D
0xFAD4	0x537E
0xFAD9	0x5393
0xFADB	0x53A0
0x9CE0	0x53A2
0xFBF7	0x53A6
0xFBFA	0x53A8
0x89E7	0x53A9
0xA07A	0x53AA
0xFADC	0x53AB
0xFADD	0x53AE
0x89E9	0x53B0
0xC6C9	0x53B6
0xFAE2	0x53C1
0x89EB	0x53C2
0xFAE3	0x53C5
0x90C8	0x53CC
0x92DA	0x53D0
0x8959	0x53D1
0x9CF5	0x53D2
0x895A	0x53D8
0xFAE7	0x53D9
0x9FA2	0x53DA
0xFAEA	0x53E0
0xFAED	0x53F6
0x8FAD	0x53F7
0xFB59	0x53FE
0xFAEF	0x5413
0x96EF	0x5414
0x9DEC	0x5416
0x9DCA	0x541A
0xFD6D	0x5421
0x89EC	0x5423
0xFB44	0x542F
0x9DE2	0x5432
0x8C75	0x5434
0x9EC0	0x544B
0x9E56	0x544D
0x9F79	0x5469
0x9AC7	0x546A
0xFAF4	0x546D
0x98A1	0x5485
0xFAF8	0x548F
0x89F0	0x5493
0x9E47	0x5494
0x9DF7	0x5497
0x9FD3	0x549C
0x9ACA	0x549E
0x89F1	0x54A3
0xFAF9	0x54A4
0x8E5A	0x54B2
0x89F2	0x54B4
0x89F3	0x54B9
0x925D	0x54CB
0x8B51	0x54CC
0x92E0	0x54CD
0x89F4	0x54D0
0x9FD4	0x54DA
0x8A79	0x54E3
0x89F5	0x54EF
0x97A7	0x5502
0x93BA	0x550D
0x9E58	0x5513
0x89F6	0x5518
0x9E57	0x551E
0x89F7	0x5523
0x8A41	0x5525
0x89F8	0x5528
0xFAF1	0x552B
0x89FA	0x553F
0xFB42	0x5547
0xFABF	0x5549
0xFBA3	0x5553
0xFAF7	0x555D
0x9E4E	0x5569
0x94DC	0x556B
0x95DA	0x5571
0x9DF8	0x5572
0x9F6A	0x5573
0x8AB7	0x5579
0xFB46	0x5586
0x8A46	0x5590
0xFB47	0x55A9
